prod_id,nb_cmd,qte,ca,prix,pays,clients,part_q4
84509A,19,94,352.5,3.75,6,14,0.468
84509B,13,61,228.75,3.75,6,9,0.525
84509G,13,72,197.5,2.98,4,10,0.563
84510A,14,132,165.0,1.25,6,10,0.303
84535B,17,450,226.26,0.62,6,13,0.445
84536A,18,212,89.04,0.42,7,13,0.67
84536B,11,625,208.1,0.4,3,7,0.467
84558A,10,140,413.0,2.95,3,6,0.471
84580,13,41,153.75,3.75,4,9,0.488
84596B,37,519,244.54,0.49,6,21,0.374
84596F,28,409,185.06,0.48,6,18,0.345
84596G,10,87,43.18,0.5,5,8,0.34
84692,53,1266,531.72,0.42,6,28,0.245
84755,36,792,500.4,0.65,6,25,0.052
84792,14,74,344.1,4.65,5,9,0.527
84817,14,195,164.7,1.49,5,10,0.419
84819,12,101,154.37,2.82,5,9,0.493
84828,14,205,247.13,1.24,7,10,0.061
84832,14,192,163.2,0.85,6,11,0.312
84836,27,287,358.75,1.25,7,22,0.157
84843,11,37,196.75,5.83,5,9,0.302
84879,110,2558,4284.62,1.69,12,63,0.356
84945,23,468,397.8,0.85,5,14,0.462
84946,52,1192,1407.92,1.23,5,32,0.603
84947,10,186,218.82,1.23,2,8,0.206
84949,16,539,802.95,1.59,2,7,0.85
84970L,23,314,316.3,0.99,9,16,0.095
84970S,31,606,515.1,0.85,7,20,0.099
84978,47,990,1141.74,1.22,5,22,0.139
84987,34,475,688.75,1.45,10,27,0.131
84988,45,1021,1422.85,1.44,13,38,0.289
84991,76,3209,1593.35,0.54,11,47,0.325
84992,62,2096,1059.2,0.54,12,37,0.447
84997A,28,254,1018.1,4.08,11,23,0.292
84997B,49,419,1654.85,4.08,10,39,0.346
84997C,45,292,1167.4,4.07,14,38,0.286
84997D,73,512,2080.8,4.1,17,53,0.385
85014A,34,162,915.9,5.92,7,24,0.208
85014B,47,314,1772.3,5.91,9,30,0.265
85015,14,267,202.05,1.06,7,11,0.502
85017B,14,221,139.26,0.51,9,12,0.329
85032A,12,160,260.6,1.13,5,9,0.502
85032B,12,237,301.95,1.01,6,9,0.364
85034C,10,113,159.25,2.15,5,9,0.973
85040A,12,68,112.2,1.65,5,10,0.294
85048,29,225,1632.75,7.64,5,15,0.577
85049A,20,173,216.25,1.25,5,16,0.751
85049C,26,221,276.25,1.25,7,19,0.253
85049D,14,135,168.75,1.25,6,11,0.0
85049E,42,468,585.0,1.25,7,31,0.444
85049G,26,368,432.64,1.24,6,17,0.176
85049H,13,135,168.75,1.25,4,10,0.259
85053,31,230,483.0,2.1,8,16,0.222
85059,10,34,107.5,3.5,3,7,0.209
85066,32,68,867.0,12.75,7,21,0.265
85099B,173,3115,5967.5,2.03,14,79,0.204
85099C,39,744,1352.85,2.01,8,26,0.403
85099F,52,880,1672.62,2.03,8,29,0.194
85123A,169,3261,8723.95,2.84,11,62,0.412
85150,23,193,492.15,2.55,5,13,0.477
85152,31,244,512.4,2.1,4,21,0.385
85175,12,800,309.12,0.41,4,9,0.528
85184C,10,95,189.05,2.57,5,10,0.174
85199S,14,344,144.48,0.42,5,12,0.605
85206A,10,110,181.5,1.65,6,10,0.218
85227,20,303,232.35,0.84,6,17,0.377
85232D,19,72,339.6,4.91,9,13,0.408
C2,99,99,5025.0,50.76,3,4,0.388
M,26,119,28635.74,794.15,8,19,0.584
POST,649,1876,42329.5,23.78,18,180,0.38
